Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	1050.0	1050.0	1050.0		750.0	750.0	750.0	0.009331
	1087.0	1087.0	1087.0		712.0	712.0	712.0	0.01855
	1125.0	1125.0	1125.0		675.0	675.0	675.0	0.03228
	1162.0	1162.0	1162.0		637.0	637.0	637.0	0.03275
	1200.0	1200.0	1200.0		600.0	600.0	600.0	0.04719
	1237.0	1237.0	1237.0		562.0	562.0	562.0	0.05679
	1275.0	1275.0	1275.0		525.0	525.0	525.0	0.07788
	1312.0	1312.0	1312.0		487.0	487.0	487.0	0.08039
	1350.0	1350.0	1350.0		450.0	450.0	450.0	0.08157
	1387.0	1387.0	1387.0		412.0	412.0	412.0	0.09505
	1425.0	1425.0	1425.0		375.0	375.0	375.0	0.1033
	1462.0	1462.0	1462.0		337.0	337.0	337.0	0.09962
	1500.0	1500.0	1500.0		300.0	300.0	300.0	0.1072
	1537.0	1537.0	1537.0		262.0	262.0	262.0	0.1048
	1575.0	1575.0	1575.0		225.0	225.0	225.0	0.1141
	1612.0	1612.0	1612.0		187.0	187.0	187.0	0.1271
	1650.0	1650.0	1650.0		150.0	150.0	150.0	0.1223
	1687.0	1687.0	1687.0		112.0	112.0	112.0	0.1222
	1725.0	1725.0	1725.0		75.0	75.0	75.0	0.1235
	1762.0	1762.0	1762.0		37.0	37.0	37.0	0.1216
	1800.0	1800.0	1800.0		0.0	0.0	0.0	0.1157
	987.0	987.0	987.0		962.0	962.0	962.0	1.985E-4
	1000.0	1000.0	1000.0		950.0	950.0	950.0	2.108E-4
	1012.0	1012.0	1012.0		937.0	937.0	937.0	4.902E-4
	1050.0	1050.0	1050.0		900.0	900.0	900.0	0.00211
	1087.0	1087.0	1087.0		862.0	862.0	862.0	0.003464
	1125.0	1125.0	1125.0		825.0	825.0	825.0	0.009879
	1162.0	1162.0	1162.0		787.0	787.0	787.0	0.01815
	1200.0	1200.0	1200.0		750.0	750.0	750.0	0.03061
	1237.0	1237.0	1237.0		712.0	712.0	712.0	0.03295
	1275.0	1275.0	1275.0		675.0	675.0	675.0	0.04782
	1312.0	1312.0	1312.0		637.0	637.0	637.0	0.06344
	1350.0	1350.0	1350.0		600.0	600.0	600.0	0.07086
	1387.0	1387.0	1387.0		562.0	562.0	562.0	0.08138
	1425.0	1425.0	1425.0		525.0	525.0	525.0	0.09186
	1462.0	1462.0	1462.0		487.0	487.0	487.0	0.09473
	1500.0	1500.0	1500.0		450.0	450.0	450.0	0.08984
	1537.0	1537.0	1537.0		412.0	412.0	412.0	0.1071
	1575.0	1575.0	1575.0		375.0	375.0	375.0	0.1137
	1612.0	1612.0	1612.0		337.0	337.0	337.0	0.1088
	1650.0	1650.0	1650.0		300.0	300.0	300.0	0.1158
	1687.0	1687.0	1687.0		262.0	262.0	262.0	0.1221
	1725.0	1725.0	1725.0		225.0	225.0	225.0	0.1265
	1762.0	1762.0	1762.0		187.0	187.0	187.0	0.1344
	1800.0	1800.0	1800.0		150.0	150.0	150.0	0.1221
	1062.0	1062.0	1062.0		1037.0	1037.0	1037.0	1.451E-4
	1075.0	1075.0	1075.0		1025.0	1025.0	1025.0	3.001E-4
	1087.0	1087.0	1087.0		1012.0	1012.0	1012.0	1.691E-4
	1125.0	1125.0	1125.0		975.0	975.0	975.0	9.754E-4
