#: table_doi: 10.17182/hepdata.95354.v2/t34
#: name: chargino+neutralino acceptances (wino LSP, 2018B)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018B data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018b).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
2.6685,700.0,0.0021514,0.00039323,-0.00039323
3.0021,700.0,0.002057,0.00037454,-0.00037454
3.3356,700.0,0.0019676,0.00035794,-0.00035794
6.6713,700.0,0.0016621,0.00051105,-0.00051105
10.007,700.0,0.0011969,0.00036726,-0.00036726
13.343,700.0,0.00093343,0.00028629,-0.00028629
16.678,700.0,0.00076458,0.00023448,-0.00023448
20.014,700.0,0.00064729,0.00019851,-0.00019851
23.349,700.0,0.00056114,0.0001721,-0.0001721
26.685,700.0,0.00049519,0.00015188,-0.00015188
30.021,700.0,0.00044309,0.00013591,-0.00013591
33.356,700.0,0.00040091,0.00012298,-0.00012298
66.713,700.0,0.00018048,9.3151e-05,-9.3151e-05
100.07,700.0,0.00012249,6.3288e-05,-6.3288e-05
133.43,700.0,9.2689e-05,4.792e-05,-4.792e-05
166.78,700.0,7.4551e-05,3.8556e-05,-3.8556e-05
200.14,700.0,6.2349e-05,3.2254e-05,-3.2254e-05
233.49,700.0,5.358e-05,2.7722e-05,-2.7722e-05
266.85,700.0,4.6973e-05,2.4307e-05,-2.4307e-05
300.21,700.0,4.1816e-05,2.1641e-05,-2.1641e-05
333.56,700.0,3.768e-05,1.9501e-05,-1.9501e-05
0.0066713,800.0,1.132e-23,1.0187e-23,-1.0187e-23
0.010007,800.0,5.5383e-17,4.259e-17,-4.259e-17
0.013343,800.0,1.2456e-13,8.4294e-14,-8.4294e-14
0.016678,800.0,1.2911e-11,7.9656e-12,-7.9656e-12
0.020014,800.0,2.8708e-10,1.6484e-10,-1.6484e-10
