## HSCPM5 efficiencies
## x	y	z	 effi
1405.0	1400.0	280.0	0.0691
1405.0	1400.0	300.0	0.101
1405.0	1400.0	320.0	0.136
1405.0	1400.0	1390.0	0.27
1605.0	200.0	170.0	0.00203
1605.0	250.0	170.0	0.0191
1605.0	250.0	200.0	0.0131
1605.0	250.0	240.0	0.0112
1605.0	300.0	170.0	0.0652
1605.0	300.0	200.0	0.055
1605.0	300.0	240.0	0.0469
1605.0	300.0	280.0	0.0441
1605.0	350.0	170.0	0.124
1605.0	350.0	200.0	0.125
1605.0	350.0	240.0	0.114
1605.0	350.0	280.0	0.108
1605.0	350.0	300.0	0.105
1605.0	350.0	320.0	0.105
1605.0	350.0	340.0	0.107
1605.0	400.0	170.0	0.167
1605.0	400.0	200.0	0.187
1605.0	400.0	240.0	0.192
1605.0	400.0	280.0	0.198
1605.0	400.0	300.0	0.197
1605.0	400.0	320.0	0.197
1605.0	400.0	340.0	0.197
1605.0	400.0	360.0	0.204
1605.0	400.0	380.0	0.204
1605.0	450.0	170.0	0.186
1605.0	450.0	200.0	0.226
1605.0	450.0	240.0	0.255
1605.0	450.0	280.0	0.282
1605.0	450.0	300.0	0.285
1605.0	450.0	320.0	0.286
1605.0	450.0	340.0	0.288
1605.0	450.0	360.0	0.299
1605.0	450.0	380.0	0.299
1605.0	450.0	400.0	0.311
1605.0	450.0	430.0	0.31
1605.0	500.0	170.0	0.191
1605.0	500.0	200.0	0.247
1605.0	500.0	240.0	0.297
1605.0	500.0	280.0	0.338
1605.0	500.0	300.0	0.353
1605.0	500.0	320.0	0.36
1605.0	500.0	340.0	0.374
1605.0	500.0	360.0	0.382
1605.0	500.0	380.0	0.391
1605.0	500.0	400.0	0.397
1605.0	500.0	430.0	0.406
1605.0	500.0	480.0	0.408
1605.0	550.0	170.0	0.19
1605.0	550.0	200.0	0.251
1605.0	550.0	240.0	0.313
1605.0	550.0	280.0	0.37
1605.0	550.0	300.0	0.396
1605.0	550.0	320.0	0.412
1605.0	550.0	340.0	0.43
1605.0	550.0	360.0	0.446
1605.0	550.0	380.0	0.461
1605.0	550.0	400.0	0.47
1605.0	550.0	430.0	0.481
1605.0	550.0	480.0	0.495
1605.0	600.0	200.0	0.248
1605.0	600.0	240.0	0.321
1605.0	600.0	280.0	0.386
1605.0	600.0	300.0	0.416
1605.0	600.0	320.0	0.444
1605.0	600.0	340.0	0.466
1605.0	600.0	360.0	0.487
1605.0	600.0	380.0	0.502
1605.0	600.0	400.0	0.52
